subject,subject_en,type
Probleme bei der Zugriffsermächtigung auf medizinische Daten,Problems with access to medical data,Incident
Digitale Strategien zur Förderung des Markenwachstums im Zusammenhang mit Produkten,Digital strategies to promote market growth in products,Request
Preisdetails zur Elasticsearch-Integration,Price details for elasticsearch integration,Request
Auszuführende Synchronisierung des Projekt-Zeitplans funktioniert nicht korrekt,Project timed out synchronisation is not working properly,Problem
Sicherheit für medizinische Datenspeicherung,Safety of medical data storage,Request
Unfall Bericht Medizinische Daten,Injury Report Medical data,Incident
Probleme mit den Lizenzschlüsseln,Problem with license keys,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Unerwartete Serverausfälle erfordern sofortige Aufmerksamkeit,Unexpected server output requires immediate attention,Incident
Optimierung der Datenauswertung,Optimisation of data evaluation,Change
Optimierung von Investitionsstrategien für Finanzdienstleister unter Verwendung von Datenanalysewerkzeugen,Optimisation of investment strategies for financial service providers using data analysis tools,Request
Bieten Sie mehr Informationen zu digitalen Strategie-Dienstleistungen für Marke-Wachstum an?,Do you provide more information on digital strategy services for brand growth?,Request
Verbesserung der Datenvisualisierung in KNIME,Improve data visualisation in KNIME,Change
Unterstützung bei digitalem Marktgewicht,Support for digital market weights,Request
Anfrage zur Folgestrategie für Markenerweiterung,Application for a follow-up strategy for market expansion,Request
Probleme mit dem Dashboard,Problems with the Dashboard,Incident
Bestätigung zur möglichen Datensperrung auf Grundlage eines veralteten Cisco IOS Systems,Confirmation of possible data blocking on the basis of an old Cisco IOS system,Problem
Verbessern Sie Ihre Investitionen durch Datenanalyse mit H2O.ai,Improve your investments by data analysis with H2O.ai,Request
Problem mit der Rechnung während der Abonnementerneuerung,Problem with account during subscription modification,Incident
Fehlende Kampagnendaten,Could not close temporary folder: %s,Incident
Bericht über Datenschadensfall,Report on data damage,Incident
Geschäfts-Wachstum,Business growth,Request
Erkennung von Verrechnungsunterschieden bei Abonnementdiensten,Recognition of accounting differences in subscription services,Problem
Verbesserung der Investment-Analyse-Tools für verbesserte Portfolio-Leistung,Improving investment analysis tools for improved portfolio performance,Request
Ungenauen Investitionsprognosen gemeldet,Unfailing investment projections reported,Problem
Hilfe für das digitale Wachstum,Help for digital growth,Incident
[NO_SUBJECT],[NO_SUBJECT],Incident
Sicherheitsbedrohung bei Datenübertragung aufgetreten,Safety risk reported when data are transmitted,Problem
Hilfe bei Datenblockade-Ereignis,Help with data blockade event,Incident
Projektfristen erscheinen plötzlich nicht mehr,Project deadlines do not appear now,Incident
Anfrage nach Data Analytics-Tools für Investitionsoptimierung,Request for data Analytics tools for investment optimisation,Request
Anfrage zu digitalen Strategien zur Erhöhung der Markenvisibilität und des Wachstums,Request for digital strategies to increase market visibility and growth,Request
Kundendienstbetreuung,Customer service management,Incident
Hilfe zur Integration von Figma in Adobe Creative Cloud erforderlich,Help to integrate Figma into Adobe Creative Cloud required,Request
Effizientes Optimieren von Anlageportfolios heutzutage,Efficient Optimization of Plant Portfolios Today,Request
Bieten Sie Anleitungen zur Sicherung medizinischer Daten in IT-Systemen von Krankenhäusern an.,Please provide guidance on the protection of medical data in IT systems of hospitals.,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
Betreff: Anfrage zur Lösung von Verbindungsproblemen mit dem Google Nest Wifi Router,Subject: Request for solution of connection problems with Google Nest Wifi router,Incident
Problem mit dem Laden des Datenanalyse-Dashboards,Problem loading data analysis board,Incident
Sicherheitsmaßnahmen für medizinische Datensicherheit,Safety measures for medical data security,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
Optimierung von Elasticsearch für Wertpapierdatenanalyse,Optimisation of elastic research for paper data analysis,Request
Intermittierende Verbindungsprobleme bei Monday.com,Intermittent connection problems with Monday.com,Problem
Datenspendenprobleme,Data Spending Problem,Problem
Issues bei der Analyse der Kampagnen,Issues in the analysis of campaigns,Problem
Niedriges Engagement in der letzten Marketing-Kampagne,Low commitment in the last marketing campaign,Incident
Verfügbare Integrationsoptionen für Monday.com angebotene Produkte,Available integration options for Monday.com products,Request
Unerwartete Abweichungen in den Kampagnenmetriken,Unexpected differences in campaign metrics,Problem
"Können Sie Anleitungen zum Sicherung von medizinischen Daten mit PyTorch, Microsoft Teams und in einem IT-Umfeld für Krankenhäuser bereitstellen? Bitte Vertraulichkeit und Integrität der Patientendaten gewährleisten.","Can you provide guidance on the protection of medical data with PyTorch, Microsoft teams and in an IT field for hospitals? Please ensure the confidentiality and integrity of the patient data.",Request
[NO_SUBJECT],[NO_SUBJECT],Request
Projektdaten fehlen nach der Aktualisierung,Project data is missing after update,Incident
Probleme bei der Anmeldung gemeldet,Problems reported when logging in,Incident
Langsame Unterstützung bei Datenanalyse,Long-term support for data analysis,Incident
Medizinische Datensicherheitsschwierigkeiten,Medical data safety problems,Problem
[NO_SUBJECT],[NO_SUBJECT],Incident
Unerwartete Wartungsunterbrechung nach der letzten Aktualisierung,Unexpected maintenance interruption after last update,Incident
Unerwarteter Zugriffversagen bei medizinischen Dateneingaben,Unexpected lack of access to medical data,Incident
[NO_SUBJECT],[NO_SUBJECT],Request
Bessere Sicherheitsmaßnahmen anstreben,Intensify better security measures,Change
Anfrage Unterstützung Datenanalysetool,Request Support Data Analysis Tool,Incident
Technische Herausforderung bei unserem Investment-Prognose-System,Technical challenge in our investment forecast system,Incident
Probleme bei der Lieferung,Problems in delivery,Incident
Frage an den Kundensupport über verfügbare digitale Strategien für Markenwachstum,Question of customer support on available digital strategies for market growth,Request
Datensperrprobleme bei Ihrem Apache Hadoop-System,Datapression problems with your Hadoop system Apache,Incident
Probleme bei der Startfunktion der Digitalen Kampagne,Problems at the start of the digital campaign,Incident
Unterstützung für Sozialmedien-Kampagnen,Support for social media campaigns,Incident
Anfrage zum Preis für ClickUp Premium-Pläne,Request for price for ClickUp Premium Plans,Request
Wachstum durch digitale Marketingstrategien,Growth through digital marketing strategies,Request
Folgeanfrage zur Unterstützung bei einem Datenspill,Follow-up request for support in a data game,Incident
Möglichkeiten der Integration von TensorFlow in SaaS-Projekte,Options for integration of TensorFlow in SaaS projects,Request
Nicht erwartete Kosten in Ihrer Rechnung,Unexpected costs in your account,Incident
Unterstützung für Crash-Probleme benötigt,Crash support is required,Incident
Verschlüsselung von medizinischen Daten in Krankenhaus-IT-Systemen,Encryption of medical data in hospitals IT systems,Request
Kundenservice-Anfrage: Fehlschlag der Medienverschlüsselung und Prellbarkeit von Patientendaten,Customer service request: failure of media encryption and traceability of patient data,Incident
Preise für Azure SQL Preisstufen,Prices for Azure SQL Prices,Request
[NO_SUBJECT],[NO_SUBJECT],Incident
Verbesserung von Anlagestrategien durch die Nutzung von Datenanalyse-Erkenntnissen,Improving investment strategies through the use of data analysis findings,Request
Anfrage nach Integrationsoptionen für SAP ERP und Git in Projektmanagement,Request for integration options for SAP ERP and Git in project management,Request
Fehler bei der Fakturierung,Factorial,Problem
Ist das Lohnverrechnungs-System ausgefallen?,Is the payroll system missing?,Incident
Erkannte Probleme bei der Projekt-Synchronisierung,Recognized problems with project synchronisation,Incident
[NO_SUBJECT],[NO_SUBJECT],Incident
Fehler während Dateneingabe-Vorgang aufgetreten,There was an error displaying help.,Incident
Anfrage IT-Support,Request IT-support,Change
Unklare Kosten in meiner letzten Rechnung,Uncleared costs in my last account,Problem
Häufig gestellte Fragen zur Medizinischen Datensicherheit,Frequently asked questions about medical data security,Request
Fehlgeschlagene MySQL-Verbindung,MySQL Connection Failed,Incident
Unerwartete Störung während des Medientreffs,Unexpected interruption in media access,Problem
Datenschutzprobleme im Krankenhaus-IT-System,Data protection problems in the hospital IT system,Problem
Anforderungen an erweiterte Sicherheitsprotokolle für medizinische Daten und Krankenhaus-IT-Systeme,Requirements for extended safety protocols for medical data and hospital IT systems,Change
Verbessern der Medizinischen Datensicherheitsprotokolle,Improving medical data security protocols,Change
Probleme mit dem Investments-Optimierungsdashboard,Problems with Investment Optimisationdashboard,Incident
Unerwarteter Software-Schwund auf Serverressourcen zurückzuführen,Revert unexpected software crash to server resources,Incident
Periodische Login-Probleme bei Spitzenzeiten gemeldet,Periodic login problems reported within timeouts,Incident
Verschlüsselung medizinischer Daten - Einhaltung Vorschriften,Medical data encryption - compliance rules,Request
Probleme bei Marketing-Agenturen zur Erhöhung von Leads,Problems in marketing agencies to increase lead,Incident
Details zur Rechnungslegungsperiode,Details for the accounting period,Request
Verletzung der Datenbindungssicherheit,Infringement of data security,Problem
Optimierung von Investitionsportfolios effizient,Optimisation of investment portfolios efficient,Request
Support Ticket: Datenanalyse-Plattform,Support Ticket: Datenanalyse-Plattform,Incident
Anfrage zur Unterstützung bei der Investment-Optimierung,Request for support for investment optimization,Request
Update der Benutzeroberfläche anfordern,Request user interface update,Change
Verbesserung der Markensichtbarkeit im Online-Bereich effektiv,Improving the visibility of the mark in the online field,Request
Informationen zu Datenanalysewerkzeugen in PyCharm,Information about data analysis tools in PyCharm,Request
Probleme mit der langsam geladenen Projektzeitlinie,Project timed out,Incident
Dringliche Anfrage nach Unterstützung bei möglicher Sicherheitsverletzung im Gesundheits-IT-System,Emergency request for support for possible safety damage in the health IT system,Problem
